"Length (cm)","Comprimento (cm)"
"Height (cm)","Altura (cm)"
"Width (cm)","Largura (cm)"
"Additional Lead Time (days)","Tempo de Entrega Adicional (dias)"
"Is Product Fragile?","O Produto é Frágil?"
"Enabled","Habilitado"
"API Token","Token API"
"Ship to Applicable Countries","Países Aplicáveis para Entrega"
"Ship to Specific Countries","Enviar para Países Específicos"
"Displayed Error Message","Mostrar Mensagem de Erro"
"Weight Attribute","Atributo Peso"
"Height Attribute","Atributo Altura"
"Length Attribute","Atributo Comprimento"
"Width Attribute","Atributo Largura"
"Debug","Modo Debug"
"Attributes Mapping","Mapeamento de Atributos"
"Default Measurements","Medidas Padrão"
"This attribute will be used to get shipping quotes from Frenet API.","Este atributo será utilizado para obter as cotações da API da Frenet."
"Frenet Shipping Gateway","Frenet Gateway de Fretes"
"Additional Lead Time","Tempo de Entrega Adicional"
"The additional lead time (in days) that will be summed to original lead time.","O tempo de entrega adicionarl (em dias) que será somado ao tempo de entrega original."
"Shipping Quote","Cotação de Entrega"
"Show Shipping Forecast","Mostrar Estimativa de Entrega"
"Title","Título"
"Default Weight","Peso Padrão"
"Default Width","Largura Padrão"
"Default Height","Altura Padrão"
"Default Length","Profundidade Padrão"
"Show Method if Not Applicable","Mostrar Método Mesmo Se Não Aplicável"
"Debug Filename","Nome do Arquivo de Log"
"Sort Order","Ordenação"
"When the cart's total weight is greater than the limit (30kg) multiple calls will be done for Correios.<br/><br/><b>Note</b>: with this feature enabled you'll need to ship the products in diferent packages.<br/><br/><b style='color:red;'>Warning</b>: The shipping rules and restrictions based in cart total or weight may not work properly when this option is enabled.","Quando o peso total do carrinho for maior do que o limite (30kg), múltiplas cotações serão feitas para o método dos Correios apenas.<br/><br/><b>Nota</b>: com essa funcionalidade habilitada você precisará enviar os produtos em pacotes diferentes.<br/><br/><b style='color:red;'>Warning</b>: As regras e restrições de frete baseada em valor de carrinho ou peso pode não funcionar corretamente ao habilitar essa funcionalidade."
"Calculate the shipping quote for this product with Frenet.","Calcule a cotação de entrega para este produto com a Frenet."
"Postcode","CEP"
"Get Quote","Obter Cotação"
"Description","Descrição"
"Delivery Time","Tempo de Entrega"
"Price","Preço"
" day(s)"," dias(s)"
